;Id;N_victimas;A�o;Mes;Dia;Hora;Calle;Altura;Cruce;Direcci�n;Comuna;Latitud;Longitud;Victima;Acusado
183;2017-0053;1.0;2017.0;5.0;5.0;20.0;VIEYTES;;VILLARINO;VIEYTES y VILLARINO;4.0;-58.37547846;-34.65326075;MOTO;CARGAS
184;2017-0054;1.0;2017.0;5.0;7.0;21.0;DE LOS CONSTITUYENTES AV.;;MORAN, PEDRO;DE LOS CONSTITUYENTES AV. y MORAN, PEDRO;15.0;-58.48680218;-34.58689719;MOTO;AUTO
185;2017-0055;1.0;2017.0;5.0;9.0;8.0;DE LOS CONSTITUYENTES AV.;4900.0;SD;DE LOS CONSTITUYENTES AV. 4900;12.0;-58.49563989;-34.57962262;AUTO;AUTO
186;2017-0058;1.0;2017.0;5.0;9.0;23.0;CORDOBA AV.;;LIBERTAD;CORDOBA AV. y LIBERTAD;1.0;-58.38403232;-34.5991594;PEATON;MOTO
187;2017-0059;1.0;2017.0;5.0;11.0;9.0;BRASIL;;LIMA;BRASIL y LIMA;1.0;-58.38223382;-34.62693865;PEATON;PASAJEROS
188;2017-0060;1.0;2017.0;5.0;13.0;7.0;ESCALADA AV.;;FERNANDEZ DE LA CRUZ, F., GRAL. AV.;ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.;8.0;-58.45966521;-34.67323292;MOTO;OBJETO FIJO
189;2017-0061;1.0;2017.0;5.0;15.0;13.0;PARAGUAY;;CALLAO AV.;PARAGUAY y CALLAO AV.;2.0;-58.39303911;-34.59871111;PEATON;MOTO
190;2017-0062;1.0;2017.0;5.0;15.0;16.0;JUSTO, JUAN B. AV.;;SAN BLAS;JUSTO, JUAN B. AV. y SAN BLAS;10.0;-58.51262106;-34.63395999;MOTO;CARGAS
191;2017-0063;1.0;2017.0;5.0;17.0;10.0;CHILE;;9 DE JULIO AV.;CHILE y 9 DE JULIO AV.;1.0;-58.38118367;-34.61646839;PEATON;PASAJEROS
192;2017-0064;1.0;2017.0;5.0;20.0;5.0;MAIPU;;PERON, JUAN DOMINGO, TTE. GENERAL;MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL;1.0;-58.37653284;-34.60582475;CARGAS;AUTO
193;2017-0065;1.0;2017.0;5.0;22.0;16.0;SUAREZ AV.;;HERRERA;SUAREZ AV. y HERRERA;4.0;-58.37709334;-34.64035082;BICICLETA;CARGAS
194;2017-0066;1.0;2017.0;5.0;22.0;18.0;SAN MARTIN AV.;;FRAGATA PRES. SARMIENTO;SAN MARTIN AV. y FRAGATA PRES. SARMIENTO;15.0;-58.46002142;-34.60409469;PEATON;PASAJEROS
195;2017-0067;1.0;2017.0;5.0;23.0;2.0;DIRECTORIO AV.;;MORENO, JOSE MARIA AV.;DIRECTORIO AV. y MORENO, JOSE MARIA AV.;6.0;-58.4338197;-34.62801894;MOTO;CARGAS
